               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.012957,           0.0051421,          0.00047759,             0.99278,              0.9872,             0.99406,             0.88872,           0.0062709,           0.0027356,          0.00023997,           0.0076438,           0.0076438,           0.0076438
                 121,            0.013584,           0.0049742,          0.00047955,              0.9921,             0.98889,             0.99403,             0.87999,           0.0064004,           0.0027371,          0.00018841,            0.007624,            0.007624,            0.007624
                 122,            0.011984,           0.0050708,          0.00051484,             0.99263,             0.98916,             0.99428,             0.89234,           0.0060568,           0.0027053,           0.0001684,           0.0076042,           0.0076042,           0.0076042
                 123,            0.011679,           0.0051706,          0.00041502,             0.99384,             0.98883,             0.99408,             0.88885,           0.0062299,           0.0027906,          0.00017049,           0.0075844,           0.0075844,           0.0075844
                 124,            0.012773,            0.005227,          0.00043265,             0.98568,             0.98448,             0.99369,             0.85576,           0.0071866,           0.0031249,          0.00018071,           0.0075646,           0.0075646,           0.0075646
                 125,            0.012313,           0.0051495,          0.00055966,             0.99763,             0.98654,             0.99415,             0.88696,            0.006479,           0.0028206,          0.00016982,           0.0075448,           0.0075448,           0.0075448
                 126,            0.012143,           0.0050345,          0.00047738,             0.99409,             0.98229,             0.99407,             0.88891,           0.0062725,           0.0027006,          0.00019974,            0.007525,            0.007525,            0.007525
                 127,            0.012947,            0.005137,          0.00047544,             0.99383,             0.98975,             0.99423,             0.89153,           0.0059964,           0.0026675,          0.00017938,           0.0075052,           0.0075052,           0.0075052
                 128,            0.011699,           0.0051027,          0.00042972,             0.99687,             0.98947,              0.9942,             0.88887,           0.0061459,           0.0027186,           0.0001714,           0.0074854,           0.0074854,           0.0074854
                 129,            0.012897,           0.0049915,          0.00046657,             0.99029,             0.98648,             0.99421,             0.88982,           0.0061491,           0.0027269,          0.00017133,           0.0074656,           0.0074656,           0.0074656
                 130,            0.011525,           0.0049623,          0.00035508,             0.99665,              0.9864,             0.99421,             0.89689,           0.0058346,           0.0026859,          0.00016916,           0.0074458,           0.0074458,           0.0074458
                 131,            0.011487,           0.0048304,          0.00037109,             0.99668,             0.98454,             0.99427,             0.89442,           0.0059127,           0.0026646,          0.00016747,            0.007426,            0.007426,            0.007426
                 132,            0.012431,           0.0048375,          0.00052531,              0.9904,             0.99458,             0.99424,             0.89268,           0.0059807,           0.0026525,          0.00017025,           0.0074062,           0.0074062,           0.0074062
                 133,            0.010419,            0.004801,          0.00037201,             0.98873,             0.99639,             0.99418,             0.89789,           0.0057871,           0.0026496,          0.00017703,           0.0073864,           0.0073864,           0.0073864
                 134,            0.010948,           0.0048436,          0.00038996,             0.98718,             0.99436,              0.9941,             0.89492,           0.0059788,           0.0026674,           0.0001672,           0.0073666,           0.0073666,           0.0073666
                 135,            0.011626,           0.0048085,          0.00043143,             0.98944,             0.99118,             0.99409,             0.89381,           0.0059807,           0.0026891,          0.00016634,           0.0073468,           0.0073468,           0.0073468
                 136,            0.011038,           0.0047213,          0.00051056,             0.99781,             0.98846,             0.99426,             0.89277,           0.0058794,           0.0026423,          0.00016389,            0.007327,            0.007327,            0.007327
                 137,            0.011713,           0.0047197,           0.0004092,             0.99622,             0.98904,             0.99425,             0.89184,            0.005846,           0.0026371,          0.00017048,           0.0073072,           0.0073072,           0.0073072
                 138,            0.011103,           0.0047732,          0.00034218,             0.99495,             0.98484,             0.99421,             0.89625,           0.0058701,           0.0026593,          0.00016831,           0.0072874,           0.0072874,           0.0072874
                 139,            0.011046,           0.0046905,          0.00034419,             0.99576,             0.98906,             0.99423,             0.89807,           0.0058303,           0.0025847,          0.00017366,           0.0072676,           0.0072676,           0.0072676
                 140,            0.011887,           0.0047358,          0.00052924,             0.99251,             0.98814,             0.99427,             0.89461,           0.0058032,           0.0025969,          0.00017381,           0.0072478,           0.0072478,           0.0072478
                 141,            0.011177,            0.004656,          0.00035219,             0.99469,              0.9823,             0.99413,             0.89483,           0.0058151,           0.0026415,          0.00027172,            0.007228,            0.007228,            0.007228
                 142,            0.010569,           0.0046775,          0.00040793,             0.99418,             0.98753,             0.99425,              0.8944,           0.0057614,           0.0026068,           0.0001601,           0.0072082,           0.0072082,           0.0072082
                 143,            0.012493,           0.0048651,          0.00048067,             0.99757,             0.99202,             0.99434,             0.88933,           0.0060728,           0.0026221,          0.00015126,           0.0071884,           0.0071884,           0.0071884
                 144,            0.010583,             0.00486,          0.00036665,             0.99161,             0.98684,             0.99419,             0.89059,           0.0058848,           0.0026402,          0.00024591,           0.0071686,           0.0071686,           0.0071686
                 145,            0.012445,           0.0047933,           0.0004071,             0.99495,             0.98727,             0.99427,             0.89516,           0.0058042,           0.0026055,          0.00016347,           0.0071488,           0.0071488,           0.0071488
                 146,            0.011546,           0.0046713,          0.00031171,             0.99459,              0.9953,             0.99428,             0.89751,           0.0058329,           0.0026338,          0.00015757,            0.007129,            0.007129,            0.007129
